@1462 :- Deafened(x), LightweightFoldable_Wheelchair(x)
@612 :- BatteryPowered_Wheelchair(x), See_partially(x)
@1034 :- SpeechDisability(x), FaceToFaceCommunicationSoftware(x)
@613 :- Lightweight_Wheelchair(x), See_partially(x)
@614 :- Foldable_Wheelchair(x), See_partially(x)
@615 :- LightweightFoldable_Wheelchair(x), SightAbility(x)
@616 :- LightweightFoldable_Wheelchair(x), TactileAbility(x)
@617 :- BatteryPowered_Wheelchair(x), Reach(x)
@618 :- Lightweight_Wheelchair(x), Reach(x)
@619 :- Foldable_Wheelchair(x), Reach(x)
@1055 :- Deafened(x), TactileReading(x)
@1054 :- Deafened(x), TalkingReading(x)
@1053 :- Deafened(x), TelephoneAid(x)
@1052 :- Hard_of_hearing(x), Manual_Wheelchair(x)
@1051 :- Hard_of_hearing(x), Motorised_Wheelchair(x)
@1050 :- Hard_of_hearing(x), SymbolBoard(x)
@1049 :- Hard_of_hearing(x), FaceToFaceCommunicationSoftware(x)
@620 :- Motorised_Wheelchair(x), LowerLimbMobility(x)
@1048 :- Hard_of_hearing(x), BrailleWritingDevice(x)
@621 :- Manual_Wheelchair(x), LowerLimbMobility(x)
@1047 :- Hard_of_hearing(x), TactileReading(x)
@622 :- Motorised_Wheelchair(x), UpperLimbMobility(x)
@1046 :- Hard_of_hearing(x), TalkingReading(x)
@623 :- Manual_Wheelchair(x), UpperLimbMobility(x)
@1045 :- Hard_of_hearing(x), TelephoneAid(x)
@624 :- BatteryPowered_Wheelchair(x), LimbMobility(x)
@625 :- Lightweight_Wheelchair(x), LimbMobility(x)
@626 :- Foldable_Wheelchair(x), LimbMobility(x)
@627 :- LightweightFoldable_Wheelchair(x), MovementAbility(x)
@628 :- Talking_Thermometer(x), LowerLimbMobility(x)
@629 :- Talking_Thermometer(x), UpperLimbMobility(x)
@1066 :- Deaf(x), TactileReading(x)
@1065 :- HearingDisability(x), BraillePillOrganiser(x)
@1064 :- HearingDisability(x), BrailleAlarmClock(x)
@1063 :- Deaf(x), TalkingReading(x)
@1062 :- HearingDisability(x), Talking_Thermometer(x)
@1061 :- Deaf(x), TelephoneAid(x)
@1060 :- Deafened(x), Manual_Wheelchair(x)
@630 :- BrailleAlarmClock(x), LowerLimbMobility(x)
@631 :- BrailleAlarmClock(x), UpperLimbMobility(x)
@1059 :- Deafened(x), Motorised_Wheelchair(x)
@632 :- BraillePillOrganiser(x), LowerLimbMobility(x)
@1058 :- Deafened(x), SymbolBoard(x)
@633 :- BraillePillOrganiser(x), UpperLimbMobility(x)
@1057 :- Deafened(x), FaceToFaceCommunicationSoftware(x)
@634 :- BrailleWatch(x), LowerLimbMobility(x)
@1056 :- Deafened(x), BrailleWritingDevice(x)
@635 :- BrailleWatch(x), UpperLimbMobility(x)
@636 :- LightweightFoldable_Wheelchair(x), Hear(x)
@637 :- LightweightFoldable_Wheelchair(x), Hear_partially(x)
@638 :- LightweightFoldable_Wheelchair(x), See(x)
@639 :- LightweightFoldable_Wheelchair(x), See_partially(x)
@1077 :- Blind(x), TalkingReading(x)
@1076 :- Blind(x), TelephoneAid(x)
@1075 :- HearingDisability(x), Foldable_Wheelchair(x)
@1074 :- HearingDisability(x), Lightweight_Wheelchair(x)
@1073 :- HearingDisability(x), BatteryPowered_Wheelchair(x)
@1072 :- Deaf(x), Manual_Wheelchair(x)
@1071 :- Deaf(x), Motorised_Wheelchair(x)
@1070 :- Deaf(x), SymbolBoard(x)
@640 :- LightweightFoldable_Wheelchair(x), Reach(x)
@641 :- BatteryPowered_Wheelchair(x), LowerLimbMobility(x)
@642 :- Lightweight_Wheelchair(x), LowerLimbMobility(x)
@643 :- Foldable_Wheelchair(x), LowerLimbMobility(x)
@1069 :- Deaf(x), FaceToFaceCommunicationSoftware(x)
@644 :- BatteryPowered_Wheelchair(x), UpperLimbMobility(x)
@1068 :- Deaf(x), BrailleWritingDevice(x)
@645 :- Lightweight_Wheelchair(x), UpperLimbMobility(x)
@1067 :- HearingDisability(x), BrailleWatch(x)
@646 :- Foldable_Wheelchair(x), UpperLimbMobility(x)
@647 :- LightweightFoldable_Wheelchair(x), LimbMobility(x)
@648 :- LightweightFoldable_Wheelchair(x), LowerLimbMobility(x)
@649 :- LightweightFoldable_Wheelchair(x), UpperLimbMobility(x)
@1080 :- Blind(x), FaceToFaceCommunicationSoftware(x)
@1088 :- LowVision(x), FaceToFaceCommunicationSoftware(x)
@1087 :- LowVision(x), BrailleWritingDevice(x)
@1086 :- LowVision(x), TactileReading(x)
@1085 :- LowVision(x), TalkingReading(x)
@1084 :- LowVision(x), TelephoneAid(x)
@1083 :- Blind(x), Manual_Wheelchair(x)
@1082 :- Blind(x), Motorised_Wheelchair(x)
@1081 :- Blind(x), SymbolBoard(x)
@650 :- VisualDisability(x), HearingDisability(x)
@651 :- Blind(x), HearingDisability(x)
@652 :- VisualDisability(x), Hard_of_hearing(x)
@653 :- LowVision(x), HearingDisability(x)
@654 :- VisualDisability(x), Deafened(x)
@655 :- VisualDisability(x), Deaf(x)
@1079 :- Blind(x), BrailleWritingDevice(x)
@656 :- Blind(x), Hard_of_hearing(x)
@1078 :- Blind(x), TactileReading(x)
@657 :- Blind(x), Deafened(x)
@658 :- Blind(x), Deaf(x)
@659 :- LowVision(x), Hard_of_hearing(x)
@1091 :- LowVision(x), Manual_Wheelchair(x)
@1090 :- LowVision(x), Motorised_Wheelchair(x)
@1099 :- IntellectualDisability(x), TelephoneAid(x)
@1098 :- VisualDisability(x), Foldable_Wheelchair(x)
@1097 :- VisualDisability(x), Lightweight_Wheelchair(x)
@1096 :- VisualDisability(x), BatteryPowered_Wheelchair(x)
@1095 :- VisualDisability(x), BrailleWatch(x)
@1094 :- VisualDisability(x), BraillePillOrganiser(x)
@1093 :- VisualDisability(x), BrailleAlarmClock(x)
@1092 :- VisualDisability(x), Talking_Thermometer(x)
@660 :- LowVision(x), Deafened(x)
@661 :- LowVision(x), Deaf(x)
@662 :- SpeechAbility(x), PhysicalAbility(x)
@663 :- SpeechAbility(x), MovementAbility(x)
@664 :- SpeechAbility(x), Reach(x)
@665 :- SpeechAbility(x), LimbMobility(x)
@666 :- SpeechAbility(x), LowerLimbMobility(x)
@667 :- SpeechAbility(x), UpperLimbMobility(x)
@1089 :- LowVision(x), SymbolBoard(x)
@668 :- VisualDisability(x), MentalDisability(x)
@669 :- VisualDisability(x), IntellectualDisability(x)
@670 :- Blind(x), MentalDisability(x)
@671 :- LowVision(x), MentalDisability(x)
@672 :- VisualDisability(x), Epilepsy(x)
@673 :- VisualDisability(x), Autism(x)
@674 :- Blind(x), IntellectualDisability(x)
@675 :- LowVision(x), IntellectualDisability(x)
@676 :- Blind(x), Epilepsy(x)
@677 :- Blind(x), Autism(x)
@678 :- LowVision(x), Epilepsy(x)
@679 :- LowVision(x), Autism(x)
@680 :- Disability(x), Device(x)
@681 :- HearingDisability(x), Device(x)
@682 :- VisualDisability(x), Device(x)
@683 :- MentalDisability(x), Device(x)
@200 :- LowVision(x), Amputation(x)
@684 :- PhysicalDisability(x), Device(x)
@201 :- LowVision(x), Paraplegia(x)
@685 :- Disability(x), AssistiveDevice(x)
@202 :- LowVision(x), Guillaume_Barre(x)
@686 :- SpeechDisability(x), Device(x)
@203 :- LowVision(x), Kyphosis(x)
@687 :- Hard_of_hearing(x), Device(x)
@204 :- LowVision(x), Muscular_dystrophy(x)
@688 :- Deafened(x), Device(x)
@205 :- LowVision(x), Quadriplegia(x)
@689 :- HearingDisability(x), AssistiveDevice(x)
@206 :- LowVision(x), Cerebral_palsy(x)
@207 :- LowVision(x), Multiple_sclerosis(x)
@208 :- LowVision(x), Hemiplegia(x)
@209 :- LowVision(x), Dystonia(x)
@690 :- Deaf(x), Device(x)
@691 :- Blind(x), Device(x)
@692 :- LowVision(x), Device(x)
@693 :- VisualDisability(x), AssistiveDevice(x)
@210 :- SpeechDisability(x), HearingDisability(x)
@694 :- IntellectualDisability(x), Device(x)
@211 :- Little_or_No_Speech(x), HearingDisability(x)
@695 :- Epilepsy(x), Device(x)
@212 :- Stuttering(x), HearingDisability(x)
@696 :- MentalDisability(x), AssistiveDevice(x)
@213 :- SpeechDisability(x), Hard_of_hearing(x)
@697 :- Autism(x), Device(x)
@214 :- SpeechDisability(x), Deafened(x)
@698 :- Scoliosis(x), Device(x)
@215 :- SpeechDisability(x), Deaf(x)
@699 :- Spina_Bifida(x), Device(x)
@216 :- Little_or_No_Speech(x), Hard_of_hearing(x)
@217 :- Little_or_No_Speech(x), Deafened(x)
@218 :- Little_or_No_Speech(x), Deaf(x)
@219 :- Stuttering(x), Hard_of_hearing(x)
@220 :- Stuttering(x), Deafened(x)
@221 :- Stuttering(x), Deaf(x)
@222 :- SpeechDisability(x), MentalDisability(x)
@223 :- SpeechDisability(x), IntellectualDisability(x)
@224 :- Little_or_No_Speech(x), MentalDisability(x)
@225 :- Stuttering(x), MentalDisability(x)
@226 :- SpeechDisability(x), Epilepsy(x)
@227 :- SpeechDisability(x), Autism(x)
@228 :- Little_or_No_Speech(x), IntellectualDisability(x)
@229 :- Stuttering(x), IntellectualDisability(x)
@230 :- Little_or_No_Speech(x), Epilepsy(x)
@231 :- Little_or_No_Speech(x), Autism(x)
@232 :- Stuttering(x), Epilepsy(x)
@233 :- Stuttering(x), Autism(x)
@234 :- Device(x), Ability(x)
@235 :- Device(x), SpeechAbility(x)
@236 :- AssistiveDevice(x), Ability(x)
@237 :- Device(x), SensoryAbility(x)
@238 :- Device(x), PhysicalAbility(x)
@239 :- AssistiveDevice(x), SpeechAbility(x)
@1909 :- Kyphosis(x), See(x)
@1908 :- Kyphosis(x), Hear_partially(x)
@240 :- Communication_Device(x), Ability(x)
@241 :- AssistiveDevice(x), SensoryAbility(x)
@242 :- AssistiveDevice(x), PhysicalAbility(x)
@243 :- MobilityDevice(x), Ability(x)
@244 :- Device(x), HearingAbility(x)
@245 :- Device(x), SightAbility(x)
@246 :- Device(x), TactileAbility(x)
@247 :- Device(x), MovementAbility(x)
@248 :- Communication_Device(x), SpeechAbility(x)
@249 :- MobilityDevice(x), SpeechAbility(x)
@1907 :- Kyphosis(x), Hear(x)
@1906 :- Guillaume_Barre(x), LimbMobility(x)
@1905 :- Guillaume_Barre(x), Reach(x)
@1904 :- Guillaume_Barre(x), See_partially(x)
@1903 :- Guillaume_Barre(x), See(x)
@1902 :- Guillaume_Barre(x), Hear_partially(x)
@1901 :- Guillaume_Barre(x), Hear(x)
@1900 :- Paraplegia(x), LimbMobility(x)
@1919 :- Quadriplegia(x), Hear(x)
@250 :- ListenDevice(x), Ability(x)
@251 :- SpeechDevice(x), Ability(x)
@252 :- ReadingDevice(x), Ability(x)
@253 :- WritingDevice(x), Ability(x)
@1910 :- Kyphosis(x), See_partially(x)
@254 :- Communication_Device(x), SensoryAbility(x)
@255 :- Communication_Device(x), PhysicalAbility(x)
@256 :- FaceToFaceCommunicationDevice(x), Ability(x)
@257 :- AssistiveDevice(x), HearingAbility(x)
@258 :- AssistiveDevice(x), SightAbility(x)
@259 :- MobilityDevice(x), SensoryAbility(x)
@1918 :- Muscular_dystrophy(x), LimbMobility(x)
@1917 :- Muscular_dystrophy(x), Reach(x)
@1916 :- Muscular_dystrophy(x), See_partially(x)
@1915 :- Muscular_dystrophy(x), See(x)
@1914 :- Muscular_dystrophy(x), Hear_partially(x)
@1913 :- Muscular_dystrophy(x), Hear(x)
@1912 :- Kyphosis(x), LimbMobility(x)
@1911 :- Kyphosis(x), Reach(x)
@260 :- AssistiveDevice(x), TactileAbility(x)
@261 :- AssistiveDevice(x), MovementAbility(x)
@262 :- MobilityDevice(x), PhysicalAbility(x)
@263 :- Wheelchair(x), Ability(x)
@264 :- Device(x), Hear(x)
@1921 :- Multiple_sclerosis(x), Hear(x)
@265 :- Device(x), Hear_partially(x)
@1920 :- Cerebral_palsy(x), Hear(x)
@266 :- Device(x), See(x)
@267 :- Device(x), See_partially(x)
@268 :- Device(x), Reach(x)
@269 :- Device(x), LimbMobility(x)
@1929 :- Quadriplegia(x), See(x)
@1928 :- Dystonia(x), Hear_partially(x)
@1927 :- Hemiplegia(x), Hear_partially(x)
@1926 :- Multiple_sclerosis(x), Hear_partially(x)
@1925 :- Cerebral_palsy(x), Hear_partially(x)
@1924 :- Quadriplegia(x), Hear_partially(x)
@1923 :- Dystonia(x), Hear(x)
@1922 :- Hemiplegia(x), Hear(x)
@270 :- ListenDevice(x), SpeechAbility(x)
@271 :- SpeechDevice(x), SpeechAbility(x)
@272 :- ReadingDevice(x), SpeechAbility(x)
@273 :- WritingDevice(x), SpeechAbility(x)
@274 :- FaceToFaceCommunicationDevice(x), SpeechAbility(x)
@275 :- Wheelchair(x), SpeechAbility(x)
@1932 :- Hemiplegia(x), See(x)
@276 :- TelephoneAid(x), Ability(x)
@1931 :- Multiple_sclerosis(x), See(x)
@277 :- ListenDevice(x), SensoryAbility(x)
@1930 :- Cerebral_palsy(x), See(x)
@278 :- ListenDevice(x), PhysicalAbility(x)
@279 :- SpeechDevice(x), SensoryAbility(x)
@1939 :- Quadriplegia(x), Reach(x)
@1938 :- Dystonia(x), See_partially(x)
@1937 :- Hemiplegia(x), See_partially(x)
@1936 :- Multiple_sclerosis(x), See_partially(x)
@1935 :- Cerebral_palsy(x), See_partially(x)
@1934 :- Quadriplegia(x), See_partially(x)
@1933 :- Dystonia(x), See(x)
@280 :- SpeechDevice(x), PhysicalAbility(x)
@281 :- TalkingReading(x), Ability(x)
@282 :- TactileReading(x), Ability(x)
@283 :- ReadingDevice(x), SensoryAbility(x)
@284 :- ReadingDevice(x), PhysicalAbility(x)
@285 :- BrailleWritingDevice(x), Ability(x)
@286 :- WritingDevice(x), SensoryAbility(x)
@1943 :- Multiple_sclerosis(x), Reach(x)
@287 :- WritingDevice(x), PhysicalAbility(x)
@1942 :- Cerebral_palsy(x), LimbMobility(x)
@288 :- Communication_Device(x), HearingAbility(x)
@1941 :- Cerebral_palsy(x), Reach(x)
@289 :- Communication_Device(x), SightAbility(x)
@1940 :- Quadriplegia(x), LimbMobility(x)
@1949 :- Hemiplegia(x), LimbMobility(x)
@1948 :- Multiple_sclerosis(x), LimbMobility(x)
@1947 :- PhysicalDisability(x), UpperLimbMobility(x)
@1946 :- PhysicalDisability(x), LowerLimbMobility(x)
@1945 :- Dystonia(x), Reach(x)
@1944 :- Hemiplegia(x), Reach(x)
@290 :- FaceToFaceCommunicationDevice(x), SensoryAbility(x)
@291 :- Communication_Device(x), TactileAbility(x)
@292 :- Communication_Device(x), MovementAbility(x)
@293 :- FaceToFaceCommunicationDevice(x), PhysicalAbility(x)
@294 :- FaceToFaceCommunicationSoftware(x), Ability(x)
@295 :- SymbolBoard(x), Ability(x)
@296 :- AssistiveDevice(x), Hear(x)
@297 :- AssistiveDevice(x), Hear_partially(x)
@1954 :- Stuttering(x), Hear_partially(x)
@298 :- MobilityDevice(x), HearingAbility(x)
@1953 :- Little_or_No_Speech(x), Hear_partially(x)
@299 :- AssistiveDevice(x), See(x)
@1952 :- Stuttering(x), Hear(x)
@1951 :- Little_or_No_Speech(x), Hear(x)
@1950 :- Dystonia(x), LimbMobility(x)
@1959 :- Little_or_No_Speech(x), Reach(x)
@1958 :- Stuttering(x), See_partially(x)
@1957 :- Little_or_No_Speech(x), See_partially(x)
@1956 :- Stuttering(x), See(x)
@1955 :- Little_or_No_Speech(x), See(x)
@1965 :- Hard_of_hearing(x), LowerLimbMobility(x)
@1964 :- Stuttering(x), LimbMobility(x)
@1963 :- Little_or_No_Speech(x), LimbMobility(x)
@1962 :- SpeechDisability(x), UpperLimbMobility(x)
@1961 :- SpeechDisability(x), LowerLimbMobility(x)
@1960 :- Stuttering(x), Reach(x)
@1969 :- Deaf(x), LowerLimbMobility(x)
@1968 :- Deafened(x), UpperLimbMobility(x)
@1967 :- Deafened(x), LowerLimbMobility(x)
@1966 :- Hard_of_hearing(x), UpperLimbMobility(x)
@1976 :- IntellectualDisability(x), UpperLimbMobility(x)
@1975 :- IntellectualDisability(x), LowerLimbMobility(x)
@1974 :- LowVision(x), UpperLimbMobility(x)
@1973 :- LowVision(x), LowerLimbMobility(x)
@1972 :- Blind(x), UpperLimbMobility(x)
@1971 :- Blind(x), LowerLimbMobility(x)
@1970 :- Deaf(x), UpperLimbMobility(x)
@1979 :- Autism(x), LowerLimbMobility(x)
@1978 :- Epilepsy(x), UpperLimbMobility(x)
@1977 :- Epilepsy(x), LowerLimbMobility(x)
@1990 :- Poliomyelitis(x), UpperLimbMobility(x)
@1503 :- IntellectualDisability(x), Deafened(x)
@1987 :- Achondroplasia(x), LowerLimbMobility(x)
@1502 :- IntellectualDisability(x), Hard_of_hearing(x)
@1986 :- Osteogensis_Imperfecta(x), UpperLimbMobility(x)
@1501 :- Autism(x), HearingDisability(x)
@1985 :- Osteogensis_Imperfecta(x), LowerLimbMobility(x)
@1500 :- MentalDisability(x), Deaf(x)
@1984 :- Spina_Bifida(x), UpperLimbMobility(x)
@1983 :- Spina_Bifida(x), LowerLimbMobility(x)
@1982 :- Scoliosis(x), UpperLimbMobility(x)
@1981 :- Scoliosis(x), LowerLimbMobility(x)
@1980 :- Autism(x), UpperLimbMobility(x)
@1509 :- Epilepsy(x), Deaf(x)
@1508 :- Autism(x), Deafened(x)
@1507 :- Epilepsy(x), Deafened(x)
@1506 :- Autism(x), Hard_of_hearing(x)
@1505 :- Epilepsy(x), Hard_of_hearing(x)
@1989 :- Poliomyelitis(x), LowerLimbMobility(x)
@1504 :- IntellectualDisability(x), Deaf(x)
@1988 :- Achondroplasia(x), UpperLimbMobility(x)
@1514 :- SpeechAbility(x), TactileAbility(x)
@1998 :- Kyphosis(x), UpperLimbMobility(x)
@1513 :- SpeechAbility(x), SightAbility(x)
@1997 :- Kyphosis(x), LowerLimbMobility(x)
@1512 :- SpeechAbility(x), HearingAbility(x)
@1996 :- Guillaume_Barre(x), UpperLimbMobility(x)
@1511 :- SpeechAbility(x), SensoryAbility(x)
@1995 :- Guillaume_Barre(x), LowerLimbMobility(x)
@1510 :- Autism(x), Deaf(x)
@1994 :- Paraplegia(x), UpperLimbMobility(x)
@1993 :- Paraplegia(x), LowerLimbMobility(x)
@1992 :- Amputation(x), UpperLimbMobility(x)
@1991 :- Amputation(x), LowerLimbMobility(x)
@1519 :- Disability(x), Ability(x)
@1518 :- SpeechAbility(x), See_partially(x)
@1517 :- SpeechAbility(x), See(x)
@1516 :- SpeechAbility(x), Hear_partially(x)
@1515 :- SpeechAbility(x), Hear(x)
@1999 :- Muscular_dystrophy(x), LowerLimbMobility(x)
@1525 :- Disability(x), SensoryAbility(x)
@1524 :- PhysicalDisability(x), Ability(x)
@1523 :- MentalDisability(x), Ability(x)
@1522 :- Disability(x), SpeechAbility(x)
@1521 :- VisualDisability(x), Ability(x)
@1520 :- HearingDisability(x), Ability(x)
@1529 :- Hard_of_hearing(x), Ability(x)
@1528 :- HearingDisability(x), SpeechAbility(x)
@1527 :- SpeechDisability(x), Ability(x)
@1526 :- Disability(x), PhysicalAbility(x)
@1536 :- LowVision(x), Ability(x)
@1535 :- Blind(x), Ability(x)
@1534 :- VisualDisability(x), SpeechAbility(x)
@1533 :- HearingDisability(x), PhysicalAbility(x)
@1532 :- Deaf(x), Ability(x)
@1531 :- HearingDisability(x), SensoryAbility(x)
@1530 :- Deafened(x), Ability(x)
@1539 :- MentalDisability(x), SpeechAbility(x)
@1538 :- VisualDisability(x), PhysicalAbility(x)
@1537 :- VisualDisability(x), SensoryAbility(x)
@1550 :- Achondroplasia(x), Ability(x)
@1547 :- Scoliosis(x), Ability(x)
@1546 :- Autism(x), Ability(x)
@1545 :- MentalDisability(x), PhysicalAbility(x)
@1544 :- MentalDisability(x), SensoryAbility(x)
@1543 :- Epilepsy(x), Ability(x)
@1542 :- IntellectualDisability(x), Ability(x)
@1541 :- SpeechDisability(x), SpeechAbility(x)
@1540 :- PhysicalDisability(x), SpeechAbility(x)
@1549 :- Osteogensis_Imperfecta(x), Ability(x)
@1548 :- Spina_Bifida(x), Ability(x)
@1561 :- Multiple_sclerosis(x), Ability(x)
@1560 :- PhysicalDisability(x), PhysicalAbility(x)
@1558 :- Quadriplegia(x), Ability(x)
@1557 :- PhysicalDisability(x), SensoryAbility(x)
@1556 :- Muscular_dystrophy(x), Ability(x)
@1555 :- Kyphosis(x), Ability(x)
@1554 :- Guillaume_Barre(x), Ability(x)
@1553 :- Paraplegia(x), Ability(x)
@1552 :- Amputation(x), Ability(x)
@1551 :- Poliomyelitis(x), Ability(x)
@1559 :- Cerebral_palsy(x), Ability(x)
@1572 :- Hard_of_hearing(x), SpeechAbility(x)
@1571 :- Stuttering(x), Ability(x)
@1570 :- Little_or_No_Speech(x), Ability(x)
@1569 :- SpeechDisability(x), PhysicalAbility(x)
@1568 :- Disability(x), MovementAbility(x)
@1567 :- Disability(x), TactileAbility(x)
@1566 :- SpeechDisability(x), SensoryAbility(x)
@1565 :- Disability(x), SightAbility(x)
@1564 :- Disability(x), HearingAbility(x)
@1563 :- Dystonia(x), Ability(x)
